,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
0,1,11446443,Kepler-1,m,,24.85,70.55,43.37,,,K00001,5819,60,60,0.01,0.04,0.04,9.846,0.022,4.668,0.022,1.045,0.025,0.024,0.991,0.034,0.035,1.045,0.008,0.008,0.87,0.04,0.04,9.74,0.13,0.15,4.756,0.32,0.474,1,1.0102,1
1,2,10666592,Kepler-2,m,,19.60,70.69,46.65,,,K00002,6449,60,60,0.2,0.04,0.04,9.334,0.018,2.956,0.021,1.973,0.043,0.042,1.515,0.028,0.017,1.965,0.02,0.012,0.2,0.01,0,9.25,0.04,0.05,3.661,0.411,0.586,1.001,1.0034,2
2,3,10748390,Kepler-3,a,a18,28.16,29.31,30.02,29.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,3861595,,a,d20,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,8554498,,m,,,37.23,45.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,11853905,Kepler-4,m,,25.31,,41.53,,,K00007,5827,60,60,0.18,0.04,0.04,10.805,0.023,2.074,0.024,1.509,0.04,0.039,1.148,0.047,0.052,1.505,0.018,0.018,0.34,0.02,0.02,9.78,0.09,0.08,2.112,0.228,0.274,1,,7
6,10,6922244,Kepler-8,b,a18,7.46,82.12,7.01,,,K00010,6181,60,60,-0.08,0.04,0.04,12.293,0.015,1.003,0.014,1.536,0.038,0.037,1.145,0.041,0.046,1.528,0.027,0.022,0.32,0.02,0.02,9.67,0.08,0.07,1.207,0.135,0.171,1.007,1.0013,10
7,12,5812701,Kepler-448,b,m13,,1.23,17.84,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,9941662,Kepler-13,m,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,10874614,Kepler-6,m,,18.29,59.87,18.34,,,K00017,5660,60,60,0.36,0.04,0.04,11.634,0.019,1.728,0.014,1.261,0.031,0.03,1.09,0.034,0.03,1.251,0.012,0.011,0.56,0.02,0.03,9.81,0.09,0.09,1.543,0.175,0.181,1.032,,17
10,18,8191672,Kepler-5,m,,24.14,81.97,22.15,,,K00018,6332,60,60,0.02,0.04,0.04,11.769,0.025,1.136,0.02,1.74,0.051,0.049,1.309,0.023,0.025,1.689,0.034,0.027,0.27,0.01,0.02,9.46,0.04,0.04,1.254,0.169,0.215,1.018,1.0047,18
11,20,11804465,Kepler-12,m,,29.59,59.50,21.22,,,K00020,5926,60,60,0.03,0.04,0.04,12.066,0.023,1.159,0.012,1.504,0.039,0.037,1.086,0.062,0.03,1.498,0.018,0.017,0.32,0.02,0.02,9.83,0.05,0.11,1.095,0.131,0.165,1,,20
12,22,9631995,Kepler-422,m,,44.48,126.37,39.19,,,K00022,5891,60,60,0.21,0.04,0.04,12.041,0.011,1.408,0.013,1.252,0.029,0.028,1.119,0.027,0.031,1.246,0.018,0.012,0.58,0.03,0.04,9.67,0.09,0.1,1.31,0.155,0.188,1,,22
13,41,6521045,Kepler-100,m,,25.78,24.99,30.57,24.99,,K00041,5854,60,60,0.1,0.04,0.04,9.768,0.014,3.307,0.019,1.526,0.034,0.033,1.097,0.072,0.03,1.52,0.012,0.011,0.31,0.02,0.01,9.84,0.05,0.12,3.411,0.38,0.489,1,1.0083,41
14,42,8866102,Kepler-410,a,a18,20.85,20.85,20.82,20.85,21.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,46,10905239,Kepler-101,m,,21.78,,29.99,,,K00046,5661,60,60,0.39,0.04,0.04,12.011,0.02,1.102,0.017,1.655,0.047,0.045,1.244,0.033,0.094,1.645,0.027,0.026,0.28,0.02,0.03,9.72,0.14,0.06,1.192,0.125,0.156,1,,46
16,49,9527334,Kepler-461,a,a18,8.74,8.59,8.56,8.55,8.60,K00049,5779,60,60,-0.06,0.04,0.04,11.917,0.019,1.469,0.014,1.289,0.032,0.031,0.948,0.027,0.025,1.286,0.014,0.014,0.44,0.02,0.02,10.02,0.05,0.05,1.822,0.157,0.209,1,,49
17,63,11554435,Kepler-63,a,a18,5.49,,5.40,5.41,5.39,K00063,5673,60,60,0.25,0.04,0.04,9.997,0.022,5.178,0.025,0.887,0.021,0.021,1.007,0.005,0.01,0.907,0.003,0.006,1.35,0.02,0.02,8.86,0.3,0.15,4.672,0.167,0.26,1,,63
18,64,7051180,,a,a18,2.23,,2.22,,2.22,K00064,5357,60,60,0.09,0.04,0.04,11.23,0.016,1.131,0.014,2.433,0.067,0.065,1.268,0.019,0.017,2.388,0.034,0.034,0.09,0,0,9.66,0.02,0.02,1.398,0.187,0.244,1,,64
19,69,3544595,Kepler-93,m,,29.63,57.32,14.40,,,K00069,5594,60,60,-0.09,0.04,0.04,8.37,0.019,10.45,0.024,0.941,0.022,0.022,0.874,0.034,0.026,0.942,0.008,0.007,1.04,0.06,0.05,9.96,0.1,0.14,10.761,0.679,0.922,1,1,69
20,70,6850504,Kepler-20,b,a18,27.92,27.72,13.75,,28.25,K00070,5508,60,60,0.11,0.04,0.04,10.871,0.013,3.563,0.022,0.88,0.021,0.02,0.942,0.02,0.026,0.885,0.005,0.008,1.36,0.05,0.05,9.49,0.22,0.28,3.352,0.178,0.267,1.003,1.0054,70
21,72,11904151,Kepler-10,m,,48.56,18.20,12.81,,,K00072,5599,60,60,-0.11,0.04,0.04,9.496,0.021,5.415,0.023,1.083,0.026,0.025,0.871,0.018,0.011,1.079,0.006,0.007,0.69,0.02,0.02,10.11,0.03,0.05,5.925,0.495,0.758,1,1.0005,72
22,75,7199397,,m,,25.28,26.41,9.63,,21.71,K00075,5940,60,60,-0.04,0.04,0.04,9.387,0.014,2.383,0.023,2.514,0.059,0.058,1.327,0.015,0.013,2.499,0.031,0.025,0.09,0,0,9.53,0.01,0.01,3.102,0.408,0.489,1.003,1.0008,75
23,82,10187017,,a,a18,26.55,26.40,27.02,26.57,26.74,K00082,4909,60,60,0.11,0.04,0.04,9.351,0.011,9.301,0.019,0.724,0.018,0.018,0.803,0.009,0.021,0.735,0.004,0.002,2.02,0.03,0.08,9.03,0.64,0.36,8.772,0.265,0.291,1,,82
24,84,2571238,Kepler-19,b,a18,20.23,20.27,15.27,,32.54,K00084,5520,60,60,-0.03,0.04,0.04,10.318,0.019,4.6,0.02,0.88,0.021,0.021,0.903,0.029,0.034,0.879,0.008,0.006,1.33,0.07,0.07,9.67,0.21,0.27,4.563,0.236,0.331,1,1,84
25,85,5866724,Kepler-65,a,a18,7.90,7.88,8.29,7.91,,K00085,6220,60,60,0.13,0.04,0.04,9.806,0.017,3.317,0.029,1.443,0.033,0.032,1.249,0.01,0.03,1.441,0.018,0.015,0.42,0.02,0.02,9.47,0.06,0.05,3.523,0.322,0.557,1,1.0001,85
26,87,10593626,Kepler-22,b,a18,25.22,25.60,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,89,8056665,,m,,,,26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,92,7941200,,a,a18,16.38,16.18,15.68,16.20,,K00092,5923,60,60,0.09,0.04,0.04,10.3,0.016,3.675,0.025,1.064,0.024,0.024,1.08,0.029,0.046,1.066,0.01,0.01,0.89,0.04,0.06,9.37,0.26,0.25,3.589,0.245,0.365,1,,92
29,94,6462863,Kepler-89,b,a18,21.86,,22.33,,,K00094,6181,60,60,0.07,0.04,0.04,10.926,0.019,2.121,0.022,1.368,0.033,0.032,1.177,0.032,0.024,1.352,0.012,0.013,0.47,0.02,0.02,9.54,0.07,0.08,2.196,0.214,0.309,1.039,,94
30,97,5780885,Kepler-7,m,,15.89,103.25,16.69,,,K00097,6084,60,60,0.19,0.04,0.04,11.535,0.02,1.108,0.024,1.984,0.062,0.059,1.407,0.031,0.054,1.969,0.045,0.04,0.18,0.01,0.01,9.47,0.08,0.04,1.141,0.157,0.172,1.019,1.0113,97
31,98,10264660,Kepler-14,b,a18,2.75,2.61,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,99,8505215,,m,,25.84,44.27,14.90,,28.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,100,4055765,,a,m13,,1.12,1.13,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,102,8456679,,m,,18.77,43.70,21.20,,,K00102,5759,60,60,0.24,0.04,0.04,11.055,0.039,2.571,0.027,1.105,0.033,0.032,1.084,0.033,0.037,1.085,0.016,0.01,0.85,0.05,0.05,9.54,0.18,0.28,2.46,0.213,0.324,1.234,1.1844,102
35,103,2444412,,a,a18,22.97,23.28,11.54,23.16,10.71,K00103,5565,60,60,0.01,0.04,0.04,11.047,0.02,3.301,0.025,0.873,0.022,0.021,0.931,0.017,0.029,0.873,0.008,0.007,1.39,0.05,0.07,9.43,0.28,0.28,3.191,0.15,0.205,1,1.0002,103
36,104,10318874,Kepler-94,b,m15,,44.31,44.39,,,K00104,4728,60,60,0.32,0.04,0.04,10.594,0.011,5.235,0.022,0.745,0.02,0.019,0.815,0.012,0.022,0.751,0.003,0.003,1.93,0.05,0.07,9.48,0.35,0.62,4.966,0.15,0.164,1,,104
37,105,8711794,Kepler-463,m,,19.72,43.09,20.36,,,K00105,5567,60,60,-0.35,0.04,0.04,11.209,0.02,2.557,0.022,1.069,0.027,0.026,0.822,0.008,0.006,1.029,0.009,0.009,0.75,0.02,0.02,10.13,0.01,0.02,3.233,0.165,0.177,1.001,1.0004,105
38,107,11250587,Kepler-464,a,a18,17.42,17.58,17.12,17.33,,K00107,5920,60,60,0.26,0.04,0.04,11.338,0.016,1.522,0.021,1.598,0.042,0.04,1.262,0.021,0.047,1.59,0.019,0.027,0.31,0.02,0.02,9.61,0.1,0.05,1.531,0.204,0.242,1.004,1.0073,107
39,108,4914423,Kepler-103,m,,21.66,20.92,11.54,,,K00108,5886,60,60,0.13,0.04,0.04,10.873,0.017,2.045,0.024,1.487,0.037,0.036,1.134,0.043,0.047,1.475,0.018,0.02,0.35,0.02,0.02,9.77,0.08,0.08,2.014,0.217,0.269,1.001,1.001,108
40,110,9450647,Kepler-465,m,,21.63,11.04,8.26,,,K00110,6207,60,60,-0.16,0.04,0.04,11.456,0.017,1.832,0.022,1.23,0.03,0.029,1.048,0.03,0.028,1.227,0.017,0.016,0.56,0.03,0.03,9.69,0.07,0.09,2.022,0.152,0.229,1,,110
41,111,6678383,,m,,18.03,,15.86,,,K00111,5760,60,60,-0.42,0.04,0.04,11.209,0.011,2.52,0.027,1.051,0.026,0.025,0.818,0.013,0.008,1.039,0.011,0.011,0.73,0.03,0.02,10.12,0.02,0.03,2.967,0.204,0.235,1.001,1.0013,111
42,112,10984090,Kepler-466,b,a18,15.73,32.08,14.89,,,K00112,5805,60,60,-0.03,0.04,0.04,11.367,0.018,2.66,0.203,0.936,0.082,0.071,0.979,0.027,0.033,0.954,0.057,0.039,1.12,0.14,0.2,9.5,0.29,0.48,2.302,0.193,0.26,1,1.0971,112
43,115,9579641,,b,a18,16.34,16.78,17.36,16.85,,K00115,5933,60,60,-0.09,0.04,0.04,11.503,0.013,2.202,0.026,1.026,0.025,0.024,0.991,0.032,0.033,1.023,0.013,0.015,0.92,0.06,0.06,9.63,0.14,0.2,2.202,0.147,0.212,1.004,1.0002,115
44,116,8395660,Kepler-106,b,a18,22.51,20.33,11.43,,,K00116,5860,60,60,-0.09,0.04,0.04,11.431,0.018,2.275,0.03,1.046,0.027,0.027,0.959,0.034,0.033,1.029,0.016,0.014,0.87,0.06,0.06,9.78,0.12,0.15,2.276,0.179,0.251,1,1.0001,116
45,117,10875245,Kepler-107,b,a18,22.35,21.56,20.28,,,K00117,5866,60,60,0.32,0.04,0.04,11.06,0.016,1.925,0.02,1.439,0.035,0.034,1.215,0.024,0.025,1.44,0.015,0.021,0.4,0.02,0.01,9.63,0.07,0.06,1.772,0.245,0.274,1.017,,117
46,118,3531558,Kepler-467,b,a18,20.60,49.68,21.03,,,K00118,5764,60,60,0.07,0.04,0.04,10.897,0.018,2.169,0.023,1.407,0.035,0.035,1.02,0.029,0.026,1.391,0.019,0.015,0.38,0.02,0.02,9.95,0.05,0.05,2.378,0.263,0.323,1.018,1.0059,118
47,119,9471974,Kepler-108,m,,35.04,79.20,48.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,120,11869052,,b,d20,,,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,122,8349582,Kepler-95,b,m15,34.16,15.73,17.22,,,K00122,5654,60,60,0.27,0.04,0.04,10.801,0.017,2.268,0.029,1.407,0.037,0.036,1.075,0.049,0.029,1.399,0.019,0.021,0.39,0.03,0.02,9.92,0.06,0.1,2.194,0.255,0.306,1.001,,122
50,123,5094751,Kepler-109,m,,26.42,43.72,13.53,,,K00123,5917,60,60,-0.02,0.04,0.04,11.001,0.017,2.13,0.023,1.342,0.033,0.032,1.025,0.031,0.028,1.333,0.016,0.015,0.43,0.02,0.02,9.88,0.06,0.06,2.194,0.247,0.299,1,,123
51,124,11086270,Kepler-110,m,,36.56,54.78,30.95,,,K00124,5956,60,60,-0.1,0.04,0.04,11.623,0.019,1.729,0.023,1.234,0.032,0.031,0.989,0.029,0.028,1.23,0.018,0.018,0.53,0.03,0.03,9.88,0.06,0.07,1.873,0.181,0.233,1,,124
52,125,11449844,Kepler-468,a,d20,,,11.10,,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,126,5897826,,b,d20,,,33.74,,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,127,8359498,Kepler-77,b,a18,30.49,33.24,15.01,,,K00127,5596,60,60,0.37,0.04,0.04,12.361,0.018,1.588,0.017,0.984,0.025,0.025,1.067,0.015,0.025,0.986,0.01,0.01,1.11,0.04,0.05,9.18,0.31,0.36,1.424,0.106,0.167,1,,127
55,128,11359879,Kepler-15,m,,23.48,35.55,12.13,,,K00128,5662,60,60,0.27,0.04,0.04,12.216,0.028,1.377,0.02,1.21,0.035,0.034,1.049,0.028,0.03,1.202,0.019,0.019,0.6,0.04,0.04,9.87,0.08,0.09,1.273,0.147,0.168,1.041,,128
56,129,11974540,,m,,,,24.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,130,5297298,,m,,,,34.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,131,7778437,Kepler-471,b,d20,,,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,135,9818381,Kepler-43,a,a18,12.86,,6.41,12.85,12.38,K00135,5957,60,60,0.34,0.04,0.04,12.549,0.03,1.018,0.014,1.36,0.039,0.037,1.228,0.027,0.023,1.352,0.023,0.02,0.49,0.03,0.03,9.51,0.07,0.1,0.984,0.112,0.148,1,,135
60,137,8644288,Kepler-18,b,a18,16.40,44.74,17.58,,,K00137,5441,60,60,0.28,0.04,0.04,11.756,0.019,2.333,0.017,0.904,0.023,0.022,0.983,0.026,0.024,0.903,0.008,0.004,1.33,0.05,0.05,9.31,0.28,0.73,2.111,0.132,0.196,1.023,,137
61,139,8559644,Kepler-111,b,a18,17.14,16.91,16.20,16.96,,K00139,5905,60,60,0.22,0.04,0.04,12.11,0.023,1.546,0.014,1.105,0.028,0.027,1.125,0.034,0.032,1.107,0.005,0.014,0.82,0.06,0.02,9.36,0.16,0.41,1.378,0.129,0.189,1,,139
62,141,12105051,,b,a18,18.16,18.39,19.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,142,5446285,,b,a18,31.57,32.77,30.73,30.69,,K00142,5466,60,60,0.27,0.04,0.04,11.454,0.019,2.678,0.014,0.9,0.022,0.021,0.985,0.027,0.022,0.902,0.006,0.004,1.34,0.04,0.05,9.27,0.31,0.8,2.408,0.151,0.227,1.001,,142
64,143,4649305,,m,,,,11.33,,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,144,4180280,Kepler-472,b,a18,39.72,44.85,16.93,,,K00144,4932,60,60,0.28,0.04,0.04,11.461,0.014,3.286,0.02,0.775,0.02,0.02,0.857,0.015,0.021,0.781,0.005,0.002,1.8,0.04,0.08,9.33,0.39,0.57,3.108,0.099,0.115,1,1.0003,144
66,145,9904059,,m,,14.67,,13.14,,,K00145,4923,60,60,0.05,0.04,0.04,11.382,0.025,0.516,0.015,5.203,0.211,0.2,1.522,0.115,0.124,5.148,0.157,0.144,0.01,0,0,9.38,0.14,0.12,0.615,0.084,0.099,1.122,,145
67,148,5735762,Kepler-48,b,a18,38.35,36.57,19.40,,39.36,K00148,5235,60,60,0.26,0.04,0.04,11.221,0.023,3.284,0.019,0.836,0.022,0.021,0.916,0.013,0.02,0.842,0.006,0.005,1.53,0.04,0.05,9.43,0.25,0.24,3.045,0.131,0.173,1.063,1.0037,148
68,149,3835670,Kepler-473,m,,20.29,56.09,13.84,,,K00149,5708,60,60,0.03,0.04,0.04,11.731,0.02,1.128,0.015,1.86,0.05,0.048,1.1,0.022,0.021,1.834,0.026,0.024,0.18,0.01,0.01,9.86,0.03,0.03,1.239,0.169,0.201,1,,149
69,150,7626506,Kepler-112,m,,15.62,25.74,18.72,,,K00150,5501,60,60,-0.4,0.04,0.04,12.155,0.021,1.973,0.016,0.906,0.023,0.022,0.782,0.013,0.009,0.876,0.006,0.007,1.16,0.03,0.03,10.11,0.02,0.05,2.244,0.095,0.107,1,1.0015,150
70,151,2307199,,m,,,52.09,13.45,,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,152,8394721,Kepler-79,b,a18,4.71,64.01,4.92,,,K00152,6389,60,60,0.06,0.04,0.04,12.606,0.031,1.004,0.016,1.316,0.038,0.037,1.244,0.027,0.042,1.283,0.029,0.015,0.59,0.02,0.05,9.12,0.25,0.16,1.024,0.044,0.116,1.043,1.0009,152
72,153,12252424,Kepler-113,b,a18,26.86,45.46,27.55,,,K00153,4791,60,60,0.13,0.04,0.04,11.255,0.023,3.836,0.016,0.745,0.021,0.02,0.792,0.018,0.029,0.745,0.005,0.004,1.9,0.07,0.1,9.67,0.31,0.46,3.772,0.108,0.122,1,,153
73,155,8030148,Kepler-474,m,,30.16,112.96,14.25,,,K00155,5667,60,60,-0.17,0.04,0.04,11.91,0.022,1.213,0.015,1.603,0.043,0.042,0.94,0.021,0.018,1.582,0.023,0.021,0.24,0.01,0.01,10.04,0.03,0.03,1.465,0.248,0.2,1.038,,155
74,156,10925104,Kepler-114,a,m15,,34.92,35.07,34.55,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,157,6541920,Kepler-11,m,,21.07,25.25,32.03,,,K00157,5763,60,60,0.05,0.04,0.04,12.18,0.02,1.571,0.015,1.086,0.027,0.026,0.986,0.034,0.033,1.064,0.012,0.012,0.82,0.05,0.05,9.81,0.11,0.14,1.482,0.146,0.18,1.097,1.0034,157
76,159,8972058,Kepler-115,b,a18,13.83,80.20,12.92,,,K00159,6000,60,60,-0.02,0.04,0.04,11.97,0.019,1.628,0.018,1.13,0.028,0.027,1.042,0.03,0.034,1.104,0.017,0.01,0.76,0.04,0.04,9.62,0.12,0.16,1.653,0.123,0.172,1,,159
77,160,6631721,,m,,,,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,161,5084942,Kepler-475,b,a18,19.52,42.39,23.44,,26.74,K00161,4995,60,60,0.34,0.04,0.04,11.241,0.02,3.595,0.015,0.781,0.021,0.02,0.877,0.007,0.02,0.788,0.003,0.002,1.8,0.01,0.06,8.97,0.58,0.2,3.318,0.114,0.136,1.003,1.0023,161
79,162,8107380,Kepler-476,m,,14.84,16.71,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,163,6851425,Kepler-477,b,a18,17.09,,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,165,9527915,Kepler-478,b,a18,16.83,32.38,15.94,32.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,166,2441495,Kepler-479,b,a18,16.51,71.94,16.73,,,K00166,5159,60,60,-0.21,0.04,0.04,11.716,0.02,2.924,0.016,0.759,0.02,0.019,0.764,0.03,0.024,0.757,0.006,0.005,1.76,0.1,0.07,9.94,0.15,0.27,2.994,0.102,0.107,1,,166
83,167,11666881,Kepler-480,m,,,26.48,13.01,,,K00167,6231,60,60,0.06,0.04,0.04,12.065,0.022,1.204,0.016,1.412,0.036,0.035,1.204,0.029,0.021,1.41,0.018,0.023,0.43,0.02,0.02,9.51,0.05,0.08,1.185,0.141,0.19,1.001,,167
84,168,11512246,Kepler-23,m,,9.11,50.13,14.91,,,K00168,5823,60,60,-0.09,0.04,0.04,11.998,0.019,1.221,0.016,1.491,0.039,0.038,0.99,0.024,0.023,1.485,0.022,0.022,0.3,0.02,0.01,9.96,0.04,0.04,1.27,0.156,0.194,1.001,,168
85,171,7831264,Kepler-116,a,a18,8.83,8.42,8.32,,8.60,K00171,6220,60,60,0.07,0.04,0.04,12.383,0.022,1.071,0.017,1.38,0.038,0.036,1.198,0.019,0.029,1.361,0.022,0.02,0.47,0.02,0.03,9.5,0.08,0.06,1.155,0.1,0.142,1,,171
86,172,8692861,Kepler-69,m,,46.43,81.91,19.59,,,K00172,5630,60,60,-0.22,0.04,0.04,12.234,0.026,1.393,0.014,1.205,0.032,0.031,0.866,0.012,0.01,1.18,0.013,0.013,0.53,0.02,0.02,10.12,0.01,0.02,1.775,0.127,0.17,1.001,,172
87,173,11402995,Kepler-481,m,,,55.39,42.03,,,K00173,5676,60,60,0.01,0.04,0.04,12.383,0.025,1.253,0.018,1.234,0.035,0.034,0.936,0.027,0.024,1.226,0.019,0.018,0.51,0.03,0.03,10.05,0.05,0.06,1.305,0.142,0.178,1,,173
88,174,10810838,Kepler-482,b,a18,23.40,78.08,16.65,,,K00174,4734,60,60,-0.27,0.04,0.04,11.536,0.018,3.218,0.023,0.791,0.022,0.021,0.719,0.003,0,0.737,0,0.001,1.8,0,0.01,10.14,0,0.02,3.878,0.1,0.104,1,1.0087,174
89,176,6442377,Kepler-483,b,a18,5.83,58.37,5.83,,,K00176,6319,60,60,-0.21,0.04,0.04,12.222,0.024,1.187,0.014,1.327,0.033,0.032,1.076,0.028,0.03,1.323,0.015,0.018,0.46,0.02,0.02,9.67,0.06,0.07,1.388,0.096,0.15,1,,176
90,177,6803202,,b,a18,20.07,26.77,21.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,179,9663113,Kepler-458,m,,15.02,12.78,12.28,,,K00179,6218,60,60,0.25,0.04,0.04,12.502,0.023,0.651,0.017,2.146,0.076,0.072,1.525,0.028,0.032,2.117,0.054,0.06,0.16,0.01,0.01,9.33,0.04,0.04,0.794,0.093,0.131,1.036,,179
92,180,9573539,Kepler-484,a,a18,15.78,15.59,7.87,15.76,15.94,K00180,5652,60,60,0.06,0.04,0.04,11.482,0.017,2.641,0.019,0.885,0.021,0.021,0.974,0.017,0.034,0.89,0.006,0.008,1.39,0.03,0.07,8.87,0.61,0.44,2.504,0.095,0.145,1,,180
93,182,5376836,,a,d20,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,183,9651668,Kepler-423,b,m15,,22.02,16.82,22.05,23.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,186,12019440,Kepler-485,b,a18,21.20,21.43,21.73,,,K00186,5802,60,60,0.19,0.04,0.04,13.433,0.041,0.901,0.02,1.044,0.038,0.037,1.08,0.025,0.035,1.035,0.026,0.015,0.97,0.05,0.08,9.33,0.26,0.38,0.841,0.063,0.099,1,,186
96,188,5357901,Kepler-425,b,m15,,37.63,18.99,36.96,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,189,11391018,Kepler-486,b,d20,,78.17,30.40,,33.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,191,5972334,,m,,28.78,55.10,20.45,,,K00191,5456,60,60,0.11,0.04,0.04,13.25,0.037,1.171,0.027,0.908,0.034,0.033,0.932,0.029,0.033,0.899,0.021,0.018,1.27,0.1,0.11,9.67,0.22,0.34,1.146,0.064,0.087,1.091,1.034,191
99,192,7950644,Kepler-427,m,,,53.74,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,194,10904857,Kepler-488,a,d20,,,4.16,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,195,11502867,Kepler-426,m,,21.98,142.09,16.66,,,K00195,5535,60,60,-0.17,0.04,0.04,13.212,0.033,1.21,0.019,0.889,0.028,0.027,0.839,0.031,0.026,0.881,0.015,0.015,1.22,0.1,0.08,9.97,0.11,0.16,1.256,0.062,0.081,1,,195
102,196,9410930,Kepler-41,b,m15,,20.90,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,197,2987027,Kepler-489,b,a18,21.57,34.47,16.45,35.21,,K00197,4938,60,60,0.03,0.04,0.04,11.959,0.02,2.729,0.017,0.747,0.02,0.02,0.792,0.024,0.026,0.748,0.005,0.006,1.89,0.09,0.09,9.63,0.31,0.56,2.65,0.088,0.089,1,,197
104,199,10019708,,m,,,57.31,20.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,200,6046540,Kepler-74,b,m15,,15.44,14.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,201,6849046,Kepler-491,m,,15.97,,23.97,,,K00201,5522,60,60,0.37,0.04,0.04,12.354,0.019,1.61,0.016,0.984,0.025,0.025,1.044,0.03,0.032,0.978,0.013,0.008,1.11,0.04,0.06,9.37,0.28,0.45,1.29,0.139,0.172,1.003,1.0008,201
107,202,7877496,Kepler-412,a,m15,,17.32,16.89,17.34,20.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,203,10619192,Kepler-17,a,a18,12.27,12.05,12.26,12.16,12.50,K00203,5722,60,60,0.33,0.04,0.04,12.585,0.023,1.412,0.02,0.992,0.027,0.027,1.077,0.03,0.019,1.001,0.008,0.016,1.09,0.03,0.05,8.99,0.37,0.37,1.31,0.056,0.08,1,,203
109,204,9305831,Kepler-44,m,,,44.68,23.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,205,7046804,Kepler-492,b,m15,,25.80,17.15,,32.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,206,5728139,Kepler-433,m,,,,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,208,3762468,Kepler-493,a,m15,,3.06,3.05,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,209,10723750,Kepler-117,b,a18,10.93,10.72,10.68,,,K00209,6085,60,60,0.03,0.04,0.04,13.011,0.031,0.711,0.018,1.568,0.056,0.054,1.18,0.037,0.052,1.555,0.048,0.036,0.31,0.02,0.03,9.66,0.09,0.06,0.763,0.096,0.097,1,,209
114,211,10656508,,m,,19.56,,7.65,,,K00211,5830,60,60,-0.05,0.04,0.04,13.586,0.04,0.6,0.02,1.462,0.065,0.062,1.002,0.027,0.026,1.445,0.051,0.047,0.33,0.03,0.03,9.95,0.04,0.04,0.606,0.075,0.092,1.005,,211
